SL.No,Sales Org,Sales Org Description ,Dist Ch,Dist Ch Description,Plant,Plant Description
1,1000,GENO Sales Orgn,10,Direct Customers,1000,Geno Manufacturing Unit
2,1000,GENO Sales Orgn,10,Direct Customers,1001,Geno C&F Pune
3,1000,GENO Sales Orgn,10,Direct Customers,1002,Geno C&F Mumbai
4,1000,GENO Sales Orgn,20,Sales from C&F,1000,Geno Manufacturing Unit
5,1000,GENO Sales Orgn,20,Sales from C&F,1001,Geno C&F Pune
6,1000,GENO Sales Orgn,20,Sales from C&F,1002,Geno C&F Mumbai
7,1000,GENO Sales Orgn,30,Scrap Sales,1000,Geno Manufacturing Unit
8,1000,GENO Sales Orgn,30,Scrap Sales,1001,Geno C&F Pune
9,1000,GENO Sales Orgn,30,Scrap Sales,1002,Geno C&F Mumbai
10,1000,GENO Sales Orgn,40,RM & PM Sales,1000,Geno Manufacturing Unit
11,1000,GENO Sales Orgn,40,RM & PM Sales,1001,Geno C&F Pune
12,1000,GENO Sales Orgn,40,RM & PM Sales,1002,Geno C&F Mumbai
13,1000,GENO Sales Orgn,50,Institutional Sales,1000,Geno Manufacturing Unit
14,1000,GENO Sales Orgn,50,Institutional Sales,1001,Geno C&F Pune
15,1000,GENO Sales Orgn,50,Institutional Sales,1002,Geno C&F Mumbai
16,1000,GENO Sales Orgn,60,MTO,1000,Geno Manufacturing Unit
17,1000,GENO Sales Orgn,60,MTO,1001,Geno C&F Pune
18,1000,GENO Sales Orgn,60,MTO,1002,Geno C&F Mumbai
19,1000,GENO Sales Orgn,70,Stock Transfers,1000,Geno Manufacturing Unit
20,1000,GENO Sales Orgn,70,Stock Transfers,1001,Geno C&F Pune
21,1000,GENO Sales Orgn,70,Stock Transfers,1002,Geno C&F Mumbai
22,1000,GENO Sales Orgn,80,Export Sales,1000,Geno Manufacturing Unit
23,1000,GENO Sales Orgn,80,Export Sales,1001,Geno C&F Pune
24,1000,GENO Sales Orgn,80,Export Sales,1002,Geno C&F Mumbai
